Age Group,Geographic Area,Category,Number of Responses,Total Responses,Percentage
25 to 44 years,Nunavut,General Population,10510,36855,28.52
45 years and over,Nunavut,General Population,8325,36855,22.59
Under 5 years,Canada,Foreign-Born Population,748265,8361505,8.95
5 to 14 years,Canada,Foreign-Born Population,1438440,8361505,17.20
15 to 24 years,Canada,Foreign-Born Population,1594290,8361505,19.07
25 to 44 years,Canada,Foreign-Born Population,3783335,8361505,45.25
45 years and over,Canada,Foreign-Born Population,797180,8361505,9.53
Under 5 years,Newfoundland and Labrador,Foreign-Born Population,1700,14250,11.93
5 to 14 years,Newfoundland and Labrador,Foreign-Born Population,2470,14250,17.33
15 to 24 years,Newfoundland and Labrador,Foreign-Born Population,2335,14250,16.39
25 to 44 years,Newfoundland and Labrador,Foreign-Born Population,6640,14250,46.60
45 years and over,Newfoundland and Labrador,Foreign-Born Population,1110,14250,7.79
Under 5 years,Prince Edward Island,Foreign-Born Population,1130,11765,9.60
5 to 14 years,Prince Edward Island,Foreign-Born Population,2420,11765,20.57
15 to 24 years,Prince Edward Island,Foreign-Born Population,1905,11765,16.19
25 to 44 years,Prince Edward Island,Foreign-Born Population,4900,11765,41.65
45 years and over,Prince Edward Island,Foreign-Born Population,1405,11765,11.94
Under 5 years,Nova Scotia,Foreign-Born Population,8390,71565,11.72
5 to 14 years,Nova Scotia,Foreign-Born Population,13180,71565,18.42
15 to 24 years,Nova Scotia,Foreign-Born Population,10940,71565,15.29
25 to 44 years,Nova Scotia,Foreign-Born Population,32955,71565,46.05
45 years and over,Nova Scotia,Foreign-Born Population,6095,71565,8.52
Under 5 years,New Brunswick,Foreign-Born Population,5660,44125,12.83
5 to 14 years,New Brunswick,Foreign-Born Population,9190,44125,20.83
15 to 24 years,New Brunswick,Foreign-Born Population,6485,44125,14.70
25 to 44 years,New Brunswick,Foreign-Born Population,19090,44125,43.26
45 years and over,New Brunswick,Foreign-Born Population,3705,44125,8.40
Under 5 years,Quebec,Foreign-Born Population,112295,1210600,9.28
5 to 14 years,Quebec,Foreign-Born Population,201385,1210600,16.64
15 to 24 years,Quebec,Foreign-Born Population,213035,1210600,17.60
25 to 44 years,Quebec,Foreign-Born Population,594845,1210600,49.14
45 years and over,Quebec,Foreign-Born Population,89045,1210600,7.36
Under 5 years,Ontario,Foreign-Born Population,375395,4206585,8.92
5 to 14 years,Ontario,Foreign-Born Population,734680,4206585,17.46
15 to 24 years,Ontario,Foreign-Born Population,840165,4206585,19.97
25 to 44 years,Ontario,Foreign-Born Population,1851675,4206585,44.02
45 years and over,Ontario,Foreign-Born Population,404670,4206585,9.62
Under 5 years,Manitoba,Foreign-Born Population,26725,257620,10.37
5 to 14 years,Manitoba,Foreign-Born Population,50695,257620,19.68
15 to 24 years,Manitoba,Foreign-Born Population,45575,257620,17.69
25 to 44 years,Manitoba,Foreign-Born Population,113910,257620,44.22
45 years and over,Manitoba,Foreign-Born Population,20710,257620,8.04
Under 5 years,Saskatchewan,Foreign-Born Population,13370,137620,9.72
5 to 14 years,Saskatchewan,Foreign-Born Population,26755,137620,19.44
15 to 24 years,Saskatchewan,Foreign-Born Population,20460,137620,14.87
25 to 44 years,Saskatchewan,Foreign-Born Population,64955,137620,47.20
45 years and over,Saskatchewan,Foreign-Born Population,12070,137620,8.77
Under 5 years,Alberta,Foreign-Born Population,85135,970975,8.77
5 to 14 years,Alberta,Foreign-Born Population,169075,970975,17.41
15 to 24 years,Alberta,Foreign-Born Population,175855,970975,18.11
25 to 44 years,Alberta,Foreign-Born Population,450070,970975,46.35
45 years and over,Alberta,Foreign-Born Population,90845,970975,9.36
Under 5 years,British Columbia,Foreign-Born Population,117555,1425715,8.25
5 to 14 years,British Columbia,Foreign-Born Population,226910,1425715,15.92
15 to 24 years,British Columbia,Foreign-Born Population,275435,1425715,19.32
25 to 44 years,British Columbia,Foreign-Born Population,639200,1425715,44.83
45 years and over,British Columbia,Foreign-Born Population,166605,1425715,11.69
Under 5 years,Yukon,Foreign-Born Population,455,5385,8.45
5 to 14 years,Yukon,Foreign-Born Population,840,5385,15.60
15 to 24 years,Yukon,Foreign-Born Population,1030,5385,19.13
25 to 44 years,Yukon,Foreign-Born Population,2610,5385,48.47
45 years and over,Yukon,Foreign-Born Population,445,5385,8.26
Under 5 years,Northwest Territories,Foreign-Born Population,355,4145,8.56
5 to 14 years,Northwest Territories,Foreign-Born Population,660,4145,15.92
15 to 24 years,Northwest Territories,Foreign-Born Population,890,4145,21.47
25 to 44 years,Northwest Territories,Foreign-Born Population,1870,4145,45.11
45 years and over,Northwest Territories,Foreign-Born Population,370,4145,8.93
Under 5 years,Nunavut,Foreign-Born Population,100,1165,8.58
5 to 14 years,Nunavut,Foreign-Born Population,175,1165,15.02
15 to 24 years,Nunavut,Foreign-Born Population,180,1165,15.45
25 to 44 years,Nunavut,Foreign-Born Population,605,1165,51.93
45 years and over,Nunavut,Foreign-Born Population,105,1165,9.01
